# 账号表：username|password|personId|roleKey|avatar
# 字段以 | 分隔，一行一条记录；# 开头为注释行。
admin|admin123|SK001|ADMIN|
23011222|123456|23011222|STUDENT|
23011223|123456|23011223|STUDENT|
23011224|123456|23011224|STUDENT|
23011225|123456|23011225|STUDENT|
23011226|123456|23011226|STUDENT|
23011227|123456|23011227|STUDENT|
23011228|123456|23011228|STUDENT|
23011229|123456|23011229|STUDENT|
23011230|123456|23011230|STUDENT|
23011231|123456|23011231|STUDENT|
23011232|123456|23011232|STUDENT|
23011233|123456|23011233|STUDENT|
23011234|123456|23011234|STUDENT|
23011235|123456|23011235|STUDENT|
23011236|123456|23011236|STUDENT|
23011237|123456|23011237|STUDENT|
23011238|123456|23011238|STUDENT|
23011239|123456|23011239|STUDENT|
23011240|123456|23011240|STUDENT|
23011301|123456|23011301|STUDENT|
23011302|123456|23011302|STUDENT|
23011303|123456|23011303|STUDENT|
23011304|123456|23011304|STUDENT|
23011305|123456|23011305|STUDENT|
23011306|123456|23011306|STUDENT|
23011307|123456|23011307|STUDENT|
23011308|123456|23011308|STUDENT|
23011309|123456|23011309|STUDENT|
23011310|123456|23011310|STUDENT|
23011311|123456|23011311|STUDENT|
23011312|123456|23011312|STUDENT|
23011313|123456|23011313|STUDENT|
23011314|123456|23011314|STUDENT|
23011315|123456|23011315|STUDENT|
23011316|123456|23011316|STUDENT|
23011317|123456|23011317|STUDENT|
23011318|123456|23011318|STUDENT|
23011319|123456|23011319|STUDENT|
23011320|123456|23011320|STUDENT|
23011321|123456|23011321|STUDENT|
23011322|123456|23011322|STUDENT|
23011323|123456|23011323|STUDENT|
23011324|123456|23011324|STUDENT|
23011325|123456|23011325|STUDENT|
23011326|123456|23011326|STUDENT|
23011327|123456|23011327|STUDENT|
23011328|123456|23011328|STUDENT|
23011329|123456|23011329|STUDENT|
23011330|123456|23011330|STUDENT|
23011331|123456|23011331|STUDENT|
23011332|123456|23011332|STUDENT|
23011333|123456|23011333|STUDENT|
23011334|123456|23011334|STUDENT|
23011335|123456|23011335|STUDENT|
23011336|123456|23011336|STUDENT|
23011337|123456|23011337|STUDENT|
23011338|123456|23011338|STUDENT|
23011339|123456|23011339|STUDENT|
23011340|123456|23011340|STUDENT|
23011401|123456|23011401|STUDENT|
23011402|123456|23011402|STUDENT|
23011403|123456|23011403|STUDENT|
23011404|123456|23011404|STUDENT|
23011405|123456|23011405|STUDENT|
23011406|123456|23011406|STUDENT|
23011407|123456|23011407|STUDENT|
23011408|123456|23011408|STUDENT|
23011409|123456|23011409|STUDENT|
23011410|123456|23011410|STUDENT|
23011411|123456|23011411|STUDENT|
23011412|123456|23011412|STUDENT|
23011413|123456|23011413|STUDENT|
23011414|123456|23011414|STUDENT|
23011415|123456|23011415|STUDENT|
23011416|123456|23011416|STUDENT|
23011417|123456|23011417|STUDENT|
23011418|123456|23011418|STUDENT|
23011419|123456|23011419|STUDENT|
23011420|123456|23011420|STUDENT|
23011421|123456|23011421|STUDENT|
23011422|123456|23011422|STUDENT|
23011423|123456|23011423|STUDENT|
23011424|123456|23011424|STUDENT|
23011425|123456|23011425|STUDENT|
23011426|123456|23011426|STUDENT|
23011427|123456|23011427|STUDENT|
23011428|123456|23011428|STUDENT|
23011429|123456|23011429|STUDENT|
23011430|123456|23011430|STUDENT|
23011431|123456|23011431|STUDENT|
23011432|123456|23011432|STUDENT|
23011433|123456|23011433|STUDENT|
23011434|123456|23011434|STUDENT|
23011435|123456|23011435|STUDENT|
23011436|123456|23011436|STUDENT|
23011437|123456|23011437|STUDENT|
23011438|123456|23011438|STUDENT|
23011439|123456|23011439|STUDENT|
23011440|123456|23011440|STUDENT|
23012101|123456|23012101|STUDENT|
23012102|123456|23012102|STUDENT|
23012103|123456|23012103|STUDENT|
23012104|123456|23012104|STUDENT|
23012105|123456|23012105|STUDENT|
23012106|123456|23012106|STUDENT|
23012107|123456|23012107|STUDENT|
23012108|123456|23012108|STUDENT|
23012109|123456|23012109|STUDENT|
23012110|123456|23012110|STUDENT|
23012111|123456|23012111|STUDENT|
23012112|123456|23012112|STUDENT|
23012113|123456|23012113|STUDENT|
23012114|123456|23012114|STUDENT|
23012115|123456|23012115|STUDENT|
23012116|123456|23012116|STUDENT|
23012117|123456|23012117|STUDENT|
23012118|123456|23012118|STUDENT|
23012119|123456|23012119|STUDENT|
23012120|123456|23012120|STUDENT|
23012121|123456|23012121|STUDENT|
23012122|123456|23012122|STUDENT|
23012123|123456|23012123|STUDENT|
23012124|123456|23012124|STUDENT|
23012125|123456|23012125|STUDENT|
23012126|123456|23012126|STUDENT|
23012127|123456|23012127|STUDENT|
23012128|123456|23012128|STUDENT|
23012129|123456|23012129|STUDENT|
23012130|123456|23012130|STUDENT|
23012131|123456|23012131|STUDENT|
23012132|123456|23012132|STUDENT|
23012133|123456|23012133|STUDENT|
23012134|123456|23012134|STUDENT|
23012135|123456|23012135|STUDENT|
23012136|123456|23012136|STUDENT|
23012137|123456|23012137|STUDENT|
23012138|123456|23012138|STUDENT|
23012139|123456|23012139|STUDENT|
23012140|123456|23012140|STUDENT|
23012201|123456|23012201|STUDENT|
23012202|123456|23012202|STUDENT|
23012203|123456|23012203|STUDENT|
23012204|123456|23012204|STUDENT|
23012205|123456|23012205|STUDENT|
23012206|123456|23012206|STUDENT|
23012207|123456|23012207|STUDENT|
23012208|123456|23012208|STUDENT|
23012209|123456|23012209|STUDENT|
23012210|123456|23012210|STUDENT|
23012211|123456|23012211|STUDENT|
23012212|123456|23012212|STUDENT|
23012213|123456|23012213|STUDENT|
23012214|123456|23012214|STUDENT|
23012215|123456|23012215|STUDENT|
23012216|123456|23012216|STUDENT|
23012217|123456|23012217|STUDENT|
23012218|123456|23012218|STUDENT|
23012219|123456|23012219|STUDENT|
23012220|123456|23012220|STUDENT|
23012221|123456|23012221|STUDENT|
23012222|123456|23012222|STUDENT|
23012223|123456|23012223|STUDENT|
23012224|123456|23012224|STUDENT|
23012225|123456|23012225|STUDENT|
23012226|123456|23012226|STUDENT|
23012227|123456|23012227|STUDENT|
23012228|123456|23012228|STUDENT|
23012229|123456|23012229|STUDENT|
23012230|123456|23012230|STUDENT|
23012231|123456|23012231|STUDENT|
23012232|123456|23012232|STUDENT|
23012233|123456|23012233|STUDENT|
23012234|123456|23012234|STUDENT|
23012235|123456|23012235|STUDENT|
23012236|123456|23012236|STUDENT|
23012237|123456|23012237|STUDENT|
23012238|123456|23012238|STUDENT|
23012239|123456|23012239|STUDENT|
23012240|123456|23012240|STUDENT|
23012301|123456|23012301|STUDENT|
23012302|123456|23012302|STUDENT|
23012303|123456|23012303|STUDENT|
23012304|123456|23012304|STUDENT|
23012305|123456|23012305|STUDENT|
23012306|123456|23012306|STUDENT|
23012307|123456|23012307|STUDENT|
23012308|123456|23012308|STUDENT|
23012309|123456|23012309|STUDENT|
23012310|123456|23012310|STUDENT|
23012311|123456|23012311|STUDENT|
23012312|123456|23012312|STUDENT|
23012313|123456|23012313|STUDENT|
23012314|123456|23012314|STUDENT|
23012315|123456|23012315|STUDENT|
23012316|123456|23012316|STUDENT|
23012317|123456|23012317|STUDENT|
23012318|123456|23012318|STUDENT|
23012319|123456|23012319|STUDENT|
23012320|123456|23012320|STUDENT|
23012321|123456|23012321|STUDENT|
23012322|123456|23012322|STUDENT|
23012323|123456|23012323|STUDENT|
23012324|123456|23012324|STUDENT|
23012325|123456|23012325|STUDENT|
23012326|123456|23012326|STUDENT|
23012327|123456|23012327|STUDENT|
23012328|123456|23012328|STUDENT|
23012329|123456|23012329|STUDENT|
23012330|123456|23012330|STUDENT|
23012331|123456|23012331|STUDENT|
23012332|123456|23012332|STUDENT|
23012333|123456|23012333|STUDENT|
23012334|123456|23012334|STUDENT|
23012335|123456|23012335|STUDENT|
23012336|123456|23012336|STUDENT|
23012337|123456|23012337|STUDENT|
23012338|123456|23012338|STUDENT|
23012339|123456|23012339|STUDENT|
23012340|123456|23012340|STUDENT|
23012401|123456|23012401|STUDENT|
23012402|123456|23012402|STUDENT|
23012403|123456|23012403|STUDENT|
23012404|123456|23012404|STUDENT|
23012405|123456|23012405|STUDENT|
23012406|123456|23012406|STUDENT|
23012407|123456|23012407|STUDENT|
23012408|123456|23012408|STUDENT|
23012409|123456|23012409|STUDENT|
23012410|123456|23012410|STUDENT|
23012411|123456|23012411|STUDENT|
23012412|123456|23012412|STUDENT|
23012413|123456|23012413|STUDENT|
23012414|123456|23012414|STUDENT|
23012415|123456|23012415|STUDENT|
23012416|123456|23012416|STUDENT|
23012417|123456|23012417|STUDENT|
23012418|123456|23012418|STUDENT|
23012419|123456|23012419|STUDENT|
23012420|123456|23012420|STUDENT|
23012421|123456|23012421|STUDENT|
23012422|123456|23012422|STUDENT|
23012423|123456|23012423|STUDENT|
23012424|123456|23012424|STUDENT|
23012425|123456|23012425|STUDENT|
23012426|123456|23012426|STUDENT|
23012427|123456|23012427|STUDENT|
23012428|123456|23012428|STUDENT|
23012429|123456|23012429|STUDENT|
23012430|123456|23012430|STUDENT|
23012431|123456|23012431|STUDENT|
23012432|123456|23012432|STUDENT|
23012433|123456|23012433|STUDENT|
23012434|123456|23012434|STUDENT|
23012435|123456|23012435|STUDENT|
23012436|123456|23012436|STUDENT|
23012437|123456|23012437|STUDENT|
23012438|123456|23012438|STUDENT|
23012439|123456|23012439|STUDENT|
23012440|123456|23012440|STUDENT|
23013101|123456|23013101|STUDENT|
23013102|123456|23013102|STUDENT|
23013103|123456|23013103|STUDENT|
23013104|123456|23013104|STUDENT|
23013105|123456|23013105|STUDENT|
23013106|123456|23013106|STUDENT|
23013107|123456|23013107|STUDENT|
23013108|123456|23013108|STUDENT|
23013109|123456|23013109|STUDENT|
23013110|123456|23013110|STUDENT|
23013111|123456|23013111|STUDENT|
23013112|123456|23013112|STUDENT|
23013113|123456|23013113|STUDENT|
23013114|123456|23013114|STUDENT|
23013115|123456|23013115|STUDENT|
23013116|123456|23013116|STUDENT|
23013117|123456|23013117|STUDENT|
23013118|123456|23013118|STUDENT|
23013119|123456|23013119|STUDENT|
23013120|123456|23013120|STUDENT|
23013121|123456|23013121|STUDENT|
23013122|123456|23013122|STUDENT|
23013123|123456|23013123|STUDENT|
23013124|123456|23013124|STUDENT|
23013125|123456|23013125|STUDENT|
23013126|123456|23013126|STUDENT|
23013127|123456|23013127|STUDENT|
23013128|123456|23013128|STUDENT|
23013129|123456|23013129|STUDENT|
23013130|123456|23013130|STUDENT|
23013131|123456|23013131|STUDENT|
23013132|123456|23013132|STUDENT|
23013133|123456|23013133|STUDENT|
23013134|123456|23013134|STUDENT|
23013135|123456|23013135|STUDENT|
23013136|123456|23013136|STUDENT|
23013137|123456|23013137|STUDENT|
23013138|123456|23013138|STUDENT|
23013139|123456|23013139|STUDENT|
23013140|123456|23013140|STUDENT|
23013201|123456|23013201|STUDENT|
23013202|123456|23013202|STUDENT|
23013203|123456|23013203|STUDENT|
23013204|123456|23013204|STUDENT|
23013205|123456|23013205|STUDENT|
23013206|123456|23013206|STUDENT|
23013207|123456|23013207|STUDENT|
23013208|123456|23013208|STUDENT|
23013209|123456|23013209|STUDENT|
23013210|123456|23013210|STUDENT|
23013211|123456|23013211|STUDENT|
23013212|123456|23013212|STUDENT|
23013213|123456|23013213|STUDENT|
23013214|123456|23013214|STUDENT|
23013215|123456|23013215|STUDENT|
23013216|123456|23013216|STUDENT|
23013217|123456|23013217|STUDENT|
23013218|123456|23013218|STUDENT|
23013219|123456|23013219|STUDENT|
23013220|123456|23013220|STUDENT|
23013221|123456|23013221|STUDENT|
23013222|123456|23013222|STUDENT|
23013223|123456|23013223|STUDENT|
23013224|123456|23013224|STUDENT|
23013225|123456|23013225|STUDENT|
23013226|123456|23013226|STUDENT|
23013227|123456|23013227|STUDENT|
23013228|123456|23013228|STUDENT|
23013229|123456|23013229|STUDENT|
23013230|123456|23013230|STUDENT|
23013231|123456|23013231|STUDENT|
23013232|123456|23013232|STUDENT|
23013233|123456|23013233|STUDENT|
23013234|123456|23013234|STUDENT|
23013235|123456|23013235|STUDENT|
23013236|123456|23013236|STUDENT|
23013237|123456|23013237|STUDENT|
23013238|123456|23013238|STUDENT|
23013239|123456|23013239|STUDENT|
23013240|123456|23013240|STUDENT|
23013301|123456|23013301|STUDENT|
23013302|123456|23013302|STUDENT|
23013303|123456|23013303|STUDENT|
23013304|123456|23013304|STUDENT|
23013305|123456|23013305|STUDENT|
23013306|123456|23013306|STUDENT|
23013307|123456|23013307|STUDENT|
23013308|123456|23013308|STUDENT|
23013309|123456|23013309|STUDENT|
23013310|123456|23013310|STUDENT|
23013311|123456|23013311|STUDENT|
23013312|123456|23013312|STUDENT|
23013313|123456|23013313|STUDENT|
23013314|123456|23013314|STUDENT|
23013315|123456|23013315|STUDENT|
23013316|123456|23013316|STUDENT|
23013317|123456|23013317|STUDENT|
23013318|123456|23013318|STUDENT|
23013319|123456|23013319|STUDENT|
23013320|123456|23013320|STUDENT|
23013321|123456|23013321|STUDENT|
23013322|123456|23013322|STUDENT|
23013323|123456|23013323|STUDENT|
23013324|123456|23013324|STUDENT|
23013325|123456|23013325|STUDENT|
23013326|123456|23013326|STUDENT|
23013327|123456|23013327|STUDENT|
23013328|123456|23013328|STUDENT|
23013329|123456|23013329|STUDENT|
23013330|123456|23013330|STUDENT|
23013331|123456|23013331|STUDENT|
23013332|123456|23013332|STUDENT|
23013333|123456|23013333|STUDENT|
23013334|123456|23013334|STUDENT|
23013335|123456|23013335|STUDENT|
23013336|123456|23013336|STUDENT|
23013337|123456|23013337|STUDENT|
23013338|123456|23013338|STUDENT|
23013339|123456|23013339|STUDENT|
23013340|123456|23013340|STUDENT|
23013401|123456|23013401|STUDENT|
23013402|123456|23013402|STUDENT|
23013403|123456|23013403|STUDENT|
23013404|123456|23013404|STUDENT|
23013405|123456|23013405|STUDENT|
23013406|123456|23013406|STUDENT|
23013407|123456|23013407|STUDENT|
23013408|123456|23013408|STUDENT|
23013409|123456|23013409|STUDENT|
23013410|123456|23013410|STUDENT|
23013411|123456|23013411|STUDENT|
23013412|123456|23013412|STUDENT|
23013413|123456|23013413|STUDENT|
23013414|123456|23013414|STUDENT|
23013415|123456|23013415|STUDENT|
23013416|123456|23013416|STUDENT|
23013417|123456|23013417|STUDENT|
23013418|123456|23013418|STUDENT|
23013419|123456|23013419|STUDENT|
23013420|123456|23013420|STUDENT|
23013421|123456|23013421|STUDENT|
23013422|123456|23013422|STUDENT|
23013423|123456|23013423|STUDENT|
23013424|123456|23013424|STUDENT|
23013425|123456|23013425|STUDENT|
23013426|123456|23013426|STUDENT|
23013427|123456|23013427|STUDENT|
23013428|123456|23013428|STUDENT|
23013429|123456|23013429|STUDENT|
23013430|123456|23013430|STUDENT|
23013431|123456|23013431|STUDENT|
23013432|123456|23013432|STUDENT|
23013433|123456|23013433|STUDENT|
23013434|123456|23013434|STUDENT|
23013435|123456|23013435|STUDENT|
23013436|123456|23013436|STUDENT|
23013437|123456|23013437|STUDENT|
23013438|123456|23013438|STUDENT|
23013439|123456|23013439|STUDENT|
23013440|123456|23013440|STUDENT|
23014101|123456|23014101|STUDENT|
23014102|123456|23014102|STUDENT|
23014103|123456|23014103|STUDENT|
23014104|123456|23014104|STUDENT|
23014105|123456|23014105|STUDENT|
23014106|123456|23014106|STUDENT|
23014107|123456|23014107|STUDENT|
23014108|123456|23014108|STUDENT|
23014109|123456|23014109|STUDENT|
23014110|123456|23014110|STUDENT|
23014111|123456|23014111|STUDENT|
23014112|123456|23014112|STUDENT|
23014113|123456|23014113|STUDENT|
23014114|123456|23014114|STUDENT|
23014115|123456|23014115|STUDENT|
23014116|123456|23014116|STUDENT|
23014117|123456|23014117|STUDENT|
23014118|123456|23014118|STUDENT|
23014119|123456|23014119|STUDENT|
23014120|123456|23014120|STUDENT|
23014121|123456|23014121|STUDENT|
23014122|123456|23014122|STUDENT|
23014123|123456|23014123|STUDENT|
23014124|123456|23014124|STUDENT|
23014125|123456|23014125|STUDENT|
23014126|123456|23014126|STUDENT|
23014127|123456|23014127|STUDENT|
23014128|123456|23014128|STUDENT|
23014129|123456|23014129|STUDENT|
23014130|123456|23014130|STUDENT|
23014131|123456|23014131|STUDENT|
23014132|123456|23014132|STUDENT|
23014133|123456|23014133|STUDENT|
23014134|123456|23014134|STUDENT|
23014135|123456|23014135|STUDENT|
23014136|123456|23014136|STUDENT|
23014137|123456|23014137|STUDENT|
23014138|123456|23014138|STUDENT|
23014139|123456|23014139|STUDENT|
23014140|123456|23014140|STUDENT|
23014201|123456|23014201|STUDENT|
23014202|123456|23014202|STUDENT|
23014203|123456|23014203|STUDENT|
23014204|123456|23014204|STUDENT|
23014205|123456|23014205|STUDENT|
23014206|123456|23014206|STUDENT|
23014207|123456|23014207|STUDENT|
23014208|123456|23014208|STUDENT|
23014209|123456|23014209|STUDENT|
23014210|123456|23014210|STUDENT|
23014211|123456|23014211|STUDENT|
23014212|123456|23014212|STUDENT|
23014213|123456|23014213|STUDENT|
23014214|123456|23014214|STUDENT|
23014215|123456|23014215|STUDENT|
23014216|123456|23014216|STUDENT|
23014217|123456|23014217|STUDENT|
23014218|123456|23014218|STUDENT|
23014219|123456|23014219|STUDENT|
23014220|123456|23014220|STUDENT|
23014221|123456|23014221|STUDENT|
23014222|123456|23014222|STUDENT|
23014223|123456|23014223|STUDENT|
23014224|123456|23014224|STUDENT|
23014225|123456|23014225|STUDENT|
23014226|123456|23014226|STUDENT|
23014227|123456|23014227|STUDENT|
23014228|123456|23014228|STUDENT|
23014229|123456|23014229|STUDENT|
23014230|123456|23014230|STUDENT|
23014231|123456|23014231|STUDENT|
23014232|123456|23014232|STUDENT|
23014233|123456|23014233|STUDENT|
23014234|123456|23014234|STUDENT|
23014235|123456|23014235|STUDENT|
23014236|123456|23014236|STUDENT|
23014237|123456|23014237|STUDENT|
23014238|123456|23014238|STUDENT|
23014239|123456|23014239|STUDENT|
23014240|123456|23014240|STUDENT|
23014301|123456|23014301|STUDENT|
23014302|123456|23014302|STUDENT|
23014303|123456|23014303|STUDENT|
23014304|123456|23014304|STUDENT|
23014305|123456|23014305|STUDENT|
23014306|123456|23014306|STUDENT|
23014307|123456|23014307|STUDENT|
23014308|123456|23014308|STUDENT|
23014309|123456|23014309|STUDENT|
23014310|123456|23014310|STUDENT|
23014311|123456|23014311|STUDENT|
23014312|123456|23014312|STUDENT|
23014313|123456|23014313|STUDENT|
23014314|123456|23014314|STUDENT|
23014315|123456|23014315|STUDENT|
23014316|123456|23014316|STUDENT|
23014317|123456|23014317|STUDENT|
23014318|123456|23014318|STUDENT|
23014319|123456|23014319|STUDENT|
23014320|123456|23014320|STUDENT|
23014321|123456|23014321|STUDENT|
23014322|123456|23014322|STUDENT|
23014323|123456|23014323|STUDENT|
23014324|123456|23014324|STUDENT|
23014325|123456|23014325|STUDENT|
23014326|123456|23014326|STUDENT|
23014327|123456|23014327|STUDENT|
23014328|123456|23014328|STUDENT|
23014329|123456|23014329|STUDENT|
23014330|123456|23014330|STUDENT|
23014331|123456|23014331|STUDENT|
23014332|123456|23014332|STUDENT|
23014333|123456|23014333|STUDENT|
23014334|123456|23014334|STUDENT|
23014335|123456|23014335|STUDENT|
23014336|123456|23014336|STUDENT|
23014337|123456|23014337|STUDENT|
23014338|123456|23014338|STUDENT|
23014339|123456|23014339|STUDENT|
23014340|123456|23014340|STUDENT|
23014401|123456|23014401|STUDENT|
23014402|123456|23014402|STUDENT|
23014403|123456|23014403|STUDENT|
23014404|123456|23014404|STUDENT|
23014405|123456|23014405|STUDENT|
23014406|123456|23014406|STUDENT|
23014407|123456|23014407|STUDENT|
23014408|123456|23014408|STUDENT|
23014409|123456|23014409|STUDENT|
23014410|123456|23014410|STUDENT|
23014411|123456|23014411|STUDENT|
23014412|123456|23014412|STUDENT|
23014413|123456|23014413|STUDENT|
23014414|123456|23014414|STUDENT|
23014415|123456|23014415|STUDENT|
23014416|123456|23014416|STUDENT|
23014417|123456|23014417|STUDENT|
23014418|123456|23014418|STUDENT|
23014419|123456|23014419|STUDENT|
23014420|123456|23014420|STUDENT|
23014421|123456|23014421|STUDENT|
23014422|123456|23014422|STUDENT|
23014423|123456|23014423|STUDENT|
23014424|123456|23014424|STUDENT|
23014425|123456|23014425|STUDENT|
23014426|123456|23014426|STUDENT|
23014427|123456|23014427|STUDENT|
23014428|123456|23014428|STUDENT|
23014429|123456|23014429|STUDENT|
23014430|123456|23014430|STUDENT|
23014431|123456|23014431|STUDENT|
23014432|123456|23014432|STUDENT|
23014433|123456|23014433|STUDENT|
23014434|123456|23014434|STUDENT|
23014435|123456|23014435|STUDENT|
23014436|123456|23014436|STUDENT|
23014437|123456|23014437|STUDENT|
23014438|123456|23014438|STUDENT|
23014439|123456|23014439|STUDENT|
23014440|123456|23014440|STUDENT|
24011101|123456|24011101|STUDENT|
24011102|123456|24011102|STUDENT|
24011103|123456|24011103|STUDENT|
24011104|123456|24011104|STUDENT|
24011105|123456|24011105|STUDENT|
24011106|123456|24011106|STUDENT|
24011107|123456|24011107|STUDENT|
24011108|123456|24011108|STUDENT|
24011109|123456|24011109|STUDENT|
24011110|123456|24011110|STUDENT|
24011111|123456|24011111|STUDENT|
24011112|123456|24011112|STUDENT|
24011113|123456|24011113|STUDENT|
24011114|123456|24011114|STUDENT|
24011115|123456|24011115|STUDENT|
24011116|123456|24011116|STUDENT|
24011117|123456|24011117|STUDENT|
24011118|123456|24011118|STUDENT|
24011119|123456|24011119|STUDENT|
24011120|123456|24011120|STUDENT|
24011121|123456|24011121|STUDENT|
24011122|123456|24011122|STUDENT|
24011123|123456|24011123|STUDENT|
24011124|123456|24011124|STUDENT|
24011125|123456|24011125|STUDENT|
24011126|123456|24011126|STUDENT|
24011127|123456|24011127|STUDENT|
24011128|123456|24011128|STUDENT|
24011129|123456|24011129|STUDENT|
24011130|123456|24011130|STUDENT|
24011131|123456|24011131|STUDENT|
24011132|123456|24011132|STUDENT|
24011133|123456|24011133|STUDENT|
24011134|123456|24011134|STUDENT|
24011135|123456|24011135|STUDENT|
24011136|123456|24011136|STUDENT|
24011137|123456|24011137|STUDENT|
24011138|123456|24011138|STUDENT|
24011139|123456|24011139|STUDENT|
24011140|123456|24011140|STUDENT|
24011201|123456|24011201|STUDENT|
24011202|123456|24011202|STUDENT|
24011203|123456|24011203|STUDENT|
24011204|123456|24011204|STUDENT|
24011205|123456|24011205|STUDENT|
24011206|123456|24011206|STUDENT|
24011207|123456|24011207|STUDENT|
24011208|123456|24011208|STUDENT|
24011209|123456|24011209|STUDENT|
24011210|123456|24011210|STUDENT|
24011211|123456|24011211|STUDENT|
24011212|123456|24011212|STUDENT|
24011213|123456|24011213|STUDENT|
24011214|123456|24011214|STUDENT|
24011215|123456|24011215|STUDENT|
24011216|123456|24011216|STUDENT|
24011217|123456|24011217|STUDENT|
24011218|123456|24011218|STUDENT|
24011219|123456|24011219|STUDENT|
24011220|123456|24011220|STUDENT|
24011221|123456|24011221|STUDENT|
24011222|123456|24011222|STUDENT|
24011223|123456|24011223|STUDENT|
24011224|123456|24011224|STUDENT|
24011225|123456|24011225|STUDENT|
24011226|123456|24011226|STUDENT|
24011227|123456|24011227|STUDENT|
24011228|123456|24011228|STUDENT|
24011229|123456|24011229|STUDENT|
24011230|123456|24011230|STUDENT|
24011231|123456|24011231|STUDENT|
24011232|123456|24011232|STUDENT|
24011233|123456|24011233|STUDENT|
24011234|123456|24011234|STUDENT|
24011235|123456|24011235|STUDENT|
24011236|123456|24011236|STUDENT|
24011237|123456|24011237|STUDENT|
24011238|123456|24011238|STUDENT|
24011239|123456|24011239|STUDENT|
24011240|123456|24011240|STUDENT|
24011301|123456|24011301|STUDENT|
24011302|123456|24011302|STUDENT|
24011303|123456|24011303|STUDENT|
24011304|123456|24011304|STUDENT|
24011305|123456|24011305|STUDENT|
24011306|123456|24011306|STUDENT|
24011307|123456|24011307|STUDENT|
24011308|123456|24011308|STUDENT|
24011309|123456|24011309|STUDENT|
24011310|123456|24011310|STUDENT|
24011311|123456|24011311|STUDENT|
24011312|123456|24011312|STUDENT|
24011313|123456|24011313|STUDENT|
24011314|123456|24011314|STUDENT|
24011315|123456|24011315|STUDENT|
24011316|123456|24011316|STUDENT|
24011317|123456|24011317|STUDENT|
24011318|123456|24011318|STUDENT|
24011319|123456|24011319|STUDENT|
24011320|123456|24011320|STUDENT|
24011321|123456|24011321|STUDENT|
24011322|123456|24011322|STUDENT|
24011323|123456|24011323|STUDENT|
24011324|123456|24011324|STUDENT|
24011325|123456|24011325|STUDENT|
24011326|123456|24011326|STUDENT|
24011327|123456|24011327|STUDENT|
24011328|123456|24011328|STUDENT|
24011329|123456|24011329|STUDENT|
24011330|123456|24011330|STUDENT|
24011331|123456|24011331|STUDENT|
24011332|123456|24011332|STUDENT|
24011333|123456|24011333|STUDENT|
24011334|123456|24011334|STUDENT|
24011335|123456|24011335|STUDENT|
24011336|123456|24011336|STUDENT|
24011337|123456|24011337|STUDENT|
24011338|123456|24011338|STUDENT|
24011339|123456|24011339|STUDENT|
24011340|123456|24011340|STUDENT|
24011401|123456|24011401|STUDENT|
24011402|123456|24011402|STUDENT|
24011403|123456|24011403|STUDENT|
24011404|123456|24011404|STUDENT|
24011405|123456|24011405|STUDENT|
24011406|123456|24011406|STUDENT|
24011407|123456|24011407|STUDENT|
